PRISM Time Series Data
Locations: 14
"Climate variables: tmin,tmax"
Spatial resolution: 800m
Period: 2022-01-01 - 2022-01-31
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2025-Aug-04
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (m),Date,tmin (degrees C),tmax (degrees C)
CC,-105.8044,32.8038,2874,2022-01-01,-3.2,1.6
CC,-105.8044,32.8038,2874,2022-01-02,-15.9,-3.7
CC,-105.8044,32.8038,2874,2022-01-03,-3.7,2.6
CC,-105.8044,32.8038,2874,2022-01-04,-2.3,6.8
CC,-105.8044,32.8038,2874,2022-01-05,0.8,7.3
CC,-105.8044,32.8038,2874,2022-01-06,1.3,6.9
CC,-105.8044,32.8038,2874,2022-01-07,1.9,12.6
CC,-105.8044,32.8038,2874,2022-01-08,0.9,9.0
CC,-105.8044,32.8038,2874,2022-01-09,-1.4,8.1
CC,-105.8044,32.8038,2874,2022-01-10,-4.3,2.3
CC,-105.8044,32.8038,2874,2022-01-11,-4.4,5.1
CC,-105.8044,32.8038,2874,2022-01-12,-4.1,6.1
CC,-105.8044,32.8038,2874,2022-01-13,2.8,11.9
CC,-105.8044,32.8038,2874,2022-01-14,3.7,13.2
CC,-105.8044,32.8038,2874,2022-01-15,-7.8,8.9
CC,-105.8044,32.8038,2874,2022-01-16,-8.1,2.6
CC,-105.8044,32.8038,2874,2022-01-17,0.8,7.5
CC,-105.8044,32.8038,2874,2022-01-18,-1.4,9.5
CC,-105.8044,32.8038,2874,2022-01-19,-3.0,6.3
CC,-105.8044,32.8038,2874,2022-01-20,-4.2,3.4
CC,-105.8044,32.8038,2874,2022-01-21,-6.4,2.0
CC,-105.8044,32.8038,2874,2022-01-22,-5.8,5.0
CC,-105.8044,32.8038,2874,2022-01-23,-5.4,4.3
CC,-105.8044,32.8038,2874,2022-01-24,-5.3,2.4
CC,-105.8044,32.8038,2874,2022-01-25,-5.2,5.0
CC,-105.8044,32.8038,2874,2022-01-26,-3.8,6.5
CC,-105.8044,32.8038,2874,2022-01-27,-4.8,2.8
CC,-105.8044,32.8038,2874,2022-01-28,-11.3,5.4
CC,-105.8044,32.8038,2874,2022-01-29,-9.7,3.0
CC,-105.8044,32.8038,2874,2022-01-30,-4.2,7.7
CC,-105.8044,32.8038,2874,2022-01-31,-4.3,5.3

CH,-109.2791,31.9174,2562,2022-01-01,-1.7,1.9
CH,-109.2791,31.9174,2562,2022-01-02,-9.8,-0.2
CH,-109.2791,31.9174,2562,2022-01-03,-6.6,9.2
CH,-109.2791,31.9174,2562,2022-01-04,2.5,10.7
CH,-109.2791,31.9174,2562,2022-01-05,3.6,5.8
CH,-109.2791,31.9174,2562,2022-01-06,4.7,8.4
